Name,Country,Continent,Housing,Cost_of_Living,Commute,Safety,Healthcare,Education
Pittsburgh,Pennsylvania,North America,5.9635,4.795,4.308,4.791,6.39966666666667,6.5935
Portland,Maine,North America,0,0,1.97025,6.3585,5.17466666666667,3.6245
Portland,Oregon,North America,4.138,4.924,4.908,5.1805,6.31766666666667,4.2155
Porto,Portugal,Europe,8.1095,7.422,5.46,7.7045,8.16666666666667,4.449
Porto Alegre,Brazil,South America,9.221,8.12,5.105,5.2955,5.56,1.017
Prague,Czechia,Europe,7.4305,7.569,5.8465,8.6595,7.881,4.238
Providence,Rhode Island,North America,3.153,0,2.422,6.846,6.515,5.3015
Quebec,Canada,Europe,8.5175,6.037,5.28,9.1595,8.13133333333333,5.42
Quito,Ecuador,South America,9.0165,7.822,4.78925,6.969,6.40633333333333,0
Raleigh,North Carolina,North America,6.1285,5.61,4.78425,6.5225,6.67733333333333,7.1165
Reykjavik,Iceland,Europe,2.7715,1,5.475,8.658,8.079,4.057
Richmond,Virginia,North America,6.4395,5.949,5.6485,3.3765,6.48833333333333,3.6245
Riga,Latvia,Europe,8.933,7.329,5.35275,7.6255,5.71,4.091
Rio De Janeiro,Brazil,South America,8.32,7.751,4.55325,5.2955,4.84966666666667,1.0175
Riyadh,Saudi Arabia,Asia,8.6965,7.806,4.75325,7.583,6.08566666666667,0.5035
Rochester,New York,North America,6.727,5.488,1.90775,5.899,6.106,4.495
Rome,Italy,Europe,5.6025,5.323,4.53325,6.6045,7.86366666666667,4.157
Rotterdam,Netherlands,Europe,6.044,4.934,5.967,8.268,8.329,4.3065
Saint Petersburg,Russia,Europe,8.3605,8.673,4.626,7.793,4.952,4.282
Salt Lake City,Utah,North America,6.141,6.172,4.574,5.657,6.24633333333333,4.2805
San Antonio,Texas,North America,6.402,6.683,4.96475,4.2165,6.307,4.152
San Diego,California,North America,2.9335,5.156,4.40975,6.933,6.51966666666667,5.4575
San Francisco Bay Area,California,North America,1,2.618,4.68725,5.7155,6.449,8.6245
San Jose,Costa Rica,North America,8.1645,6.728,3.83425,6.709,7.43266666666667,1.2095
San Juan,Puerto Rico,North America,7.4275,5.98,1.142,5.121,4.36333333333333,0
San Luis Obispo,California,North America,1.7245,0,1.39225,8.058,5.87133333333333,3.6245
San Salvador,El Salvador,North America,8.8015,7.743,4.6855,5.4025,5.55866666666667,0
Santiago,Chile,South America,8.3815,7.237,5.551,6.9645,7.066,2.6415
Santo Domingo,Dominican Republic,North America,9.289,8.076,4.56525,5.779,5.026,0.5
Sao Paulo,Brazil,South America,8.316,7.823,4.412,5.2955,5.372,1.104
Sarajevo,Bosnia and Herzegovina,Europe,9.6925,8.659,5.708,7.133,6.52566666666667,0
Saskatoon,Canada,North America,7.1595,5.042,5.8055,6.638,7.514,5.344
Seattle,Washington,North America,2.291,3.79,4.52375,5.6365,6.30966666666667,5.7145
Seoul,South Korea,Asia,6.1425,3.698,5.719,8.305,8.549,6.8655
Seville,Spain,Europe,8.0955,6.961,5.567,8.9295,8.22133333333333,4.2595
Shanghai,China,Asia,5.744,7.179,5.0845,7.2085,6.206,5.6995
Singapore,Singapore,Asia,1.745,3.489,5.42725,9.9715,7.68266666666667,8.2465
Skopje,Macedonia,Europe,9.7405,9.11,5.7365,7.2795,6.62866666666667,0.5
Sofia,Bulgaria,Europe,9.306,8.55,5.622,7.5505,5.58666666666667,2.0145
St. Louis,Missouri,North America,6.958,5.504,5.0855,3.8805,6.67,5.2715
Stockholm,Sweden,Europe,4.865,4.36,5.6855,6.8865,8.03933333333333,6.6675
Stuttgart,Germany,Europe,6.314,5.673,6.2055,8.2695,7.85133333333333,5.0505
Sydney,Australia,Oceania,1.9865,4.128,4.851,7.571,8.03366666666667,6.7255
Taipei,Taiwan,Asia,7.977,5.644,5.6065,9.542,5.90533333333333,5.5895
Tallinn,Estonia,Europe,8.3765,6.931,5.9325,9.4255,7.36633333333333,5.355
Tampa Bay Area,Florida,North America,5.696,5.253,1.40075,4.7065,6.573,4.2805
Tampere,Finland,Europe,6.936,4.622,6.3495,8.689,8.31633333333333,5.3895
Tartu,Estonia,Europe,8.961,7.47,6.441,9.3765,8.395,5.4035
Tashkent,Uzbekistan,Asia,5,0,0,8.9045,3.69333333333333,0
Tbilisi,Georgia,Europe,9.4905,9.765,5.64425,9.506,5.05233333333333,0.8625
Tehran,Iran,Asia,8.303,9.544,3.7995,6.793,5.31233333333333,0.51
Tel Aviv,Israel,Asia,4.91,4.37,4.99425,8.0065,8.338,3.7665
The Hague,Netherlands,Europe,6.053,4.653,5.061,8.789,8.214,4.3065
Thessaloniki,Greece,Europe,9.3775,6.6,5.91375,7.992,7.509,3.1635
Tokyo,Japan,Asia,5.657,3.431,6.0075,10,8.82633333333333,6.9805
Toronto,Canada,North America,4.66,5.271,4.683,7.6935,8.06366666666667,7.6025
Toulouse,France,Europe,7.544,4.552,5.06775,6.967,8.832,4.442
Tunis,Tunisia,Africa,9.968,9.998,5.6145,8.2915,6.29266666666667,0.5
Turin,Italy,Europe,8.0695,5.612,5.60925,6.252,8.36766666666667,4.1015
Turku,Finland,Europe,7.534,5.07,6.7285,9.1755,8.71266666666667,5.3475
Uppsala,Sweden,Europe,7.16,5.442,5.975,7.85,8.15266666666667,5.2045
Utrecht,Netherlands,Europe,5.4665,4.604,5.99025,8.631,8.394,5.5915
Valencia,Spain,Europe,8.1355,6.872,5.809,7.7865,8.88566666666667,4.266
Valletta,Malta,Europe,3.153,0,0,8.518,8.107,2.8195
Vancouver,Canada,North America,4.0805,5.259,4.93675,7.5695,8.03766666666667,6.889
Victoria,Canada,North America,5.696,5.703,5.226,7.808,7.693,5.3815
Vienna,Austria,Europe,6.314,5.111,6.21325,8.5965,8.198,4.8545
Vilnius,Lithuania,Europe,8.621,7.576,5.92775,8.857,6.33066666666667,3.7
Warsaw,Poland,Europe,7.8695,8.192,5.203,8.6995,6.88166666666667,4.6685
Washington,District of Columbia,North America,1.2105,3.595,4.457,2.1915,6.258,5.9685
Wellington,New Zealand,Oceania,5.1345,5.161,6.03975,8.223,8.07833333333333,4.756
Winnipeg,Canada,North America,7.5525,5.882,5.1045,6.0155,7.75566666666667,5.344
Wroclaw,Poland,Europe,8.452,8.434,4.95475,8.1655,6.78133333333333,4.1615
Yerevan,Armenia,Asia,9.6945,9.431,5.64925,8.873,5.102,0
Zagreb,Croatia,Europe,8.91,7.194,4.83,8.6575,7.266,3.211
Zurich,Switzerland,Europe,1.473,1,5.8395,9.0665,7.67033333333333,7.2875
